sg_uf,nm_municipio,nr_candidato,qt_votos_nominais,dt_carga
AL,MARAVILHA,13,4326,2022-11-25 18:45:37
AL,MARAVILHA,22,1122,2022-11-25 18:45:37
AL,MARECHAL DEODORO,13,13267,2022-11-25 18:45:37
AL,MARECHAL DEODORO,22,16560,2022-11-25 18:45:37
AL,MARIBONDO,13,4770,2022-11-25 18:45:37
AL,MARIBONDO,22,2425,2022-11-25 18:45:37
AL,MATA GRANDE,13,9251,2022-11-25 18:45:37
AL,MATA GRANDE,22,1976,2022-11-25 18:45:37
AL,MATRIZ DE CAMARAGIBE,13,5615,2022-11-25 18:45:37
AL,MATRIZ DE CAMARAGIBE,22,6803,2022-11-25 18:45:37
AL,MESSIAS,13,5542,2022-11-25 18:45:37
AL,MESSIAS,22,3936,2022-11-25 18:45:37
AL,MINADOR DO NEGRÃO,13,2489,2022-11-25 18:45:37
AL,MINADOR DO NEGRÃO,22,880,2022-11-25 18:45:37
AL,MONTEIRÓPOLIS,13,3086,2022-11-25 18:45:37
AL,MONTEIRÓPOLIS,22,900,2022-11-25 18:45:37
AL,MURICI,13,8202,2022-11-25 18:45:37
AL,MURICI,22,4827,2022-11-25 18:45:37
AL,NOVO LINO,13,3065,2022-11-25 18:45:37
AL,NOVO LINO,22,3067,2022-11-25 18:45:37
AL,OLHO D'ÁGUA DAS FLORES,13,7232,2022-11-25 18:45:37
AL,OLHO D'ÁGUA DAS FLORES,22,3906,2022-11-25 18:45:37
AL,OLHO D'ÁGUA DO CASADO,13,4553,2022-11-25 18:45:37
AL,OLHO D'ÁGUA DO CASADO,22,597,2022-11-25 18:45:37
AL,OLHO D'ÁGUA GRANDE,13,2637,2022-11-25 18:45:37
AL,OLHO D'ÁGUA GRANDE,22,557,2022-11-25 18:45:37
AL,OLIVENÇA,13,5074,2022-11-25 18:45:37
AL,OLIVENÇA,22,1675,2022-11-25 18:45:37
AL,OURO BRANCO,13,5393,2022-11-25 18:45:37
AL,OURO BRANCO,22,1416,2022-11-25 18:45:37
AL,PALESTINA,13,2354,2022-11-25 18:45:37
AL,PALESTINA,22,658,2022-11-25 18:45:37
AL,PALMEIRA DOS ÍNDIOS,13,23869,2022-11-25 18:45:37
AL,PALMEIRA DOS ÍNDIOS,22,13468,2022-11-25 18:45:37
AL,PARICONHA,13,5771,2022-11-25 18:45:37
AL,PARICONHA,22,562,2022-11-25 18:45:37
AL,PARIPUEIRA,13,3742,2022-11-25 18:45:37
AL,PARIPUEIRA,22,4187,2022-11-25 18:45:37
AL,PASSO DE CAMARAGIBE,13,5016,2022-11-25 18:45:37
AL,PASSO DE CAMARAGIBE,22,3388,2022-11-25 18:45:37
AL,PAULO JACINTO,13,3059,2022-11-25 18:45:37
AL,PAULO JACINTO,22,1247,2022-11-25 18:45:37
AL,PENEDO,13,18554,2022-11-25 18:45:37
AL,PENEDO,22,10513,2022-11-25 18:45:37
AL,PIAÇABUÇU,13,6131,2022-11-25 18:45:37
AL,PIAÇABUÇU,22,3013,2022-11-25 18:45:37
AL,PILAR,13,11002,2022-11-25 18:45:37
AL,PILAR,22,8763,2022-11-25 18:45:37
AL,PINDOBA,13,1261,2022-11-25 18:45:37
AL,PINDOBA,22,594,2022-11-25 18:45:37
AL,PIRANHAS,13,11134,2022-11-25 18:45:37
AL,PIRANHAS,22,1990,2022-11-25 18:45:37
AL,PORTO CALVO,13,6616,2022-11-25 18:45:37
AL,PORTO CALVO,22,7277,2022-11-25 18:45:37
AL,PORTO DE PEDRAS,13,2725,2022-11-25 18:45:37
AL,PORTO DE PEDRAS,22,2237,2022-11-25 18:45:37
AL,PORTO REAL DO COLÉGIO,13,9211,2022-11-25 18:45:37
AL,PORTO REAL DO COLÉGIO,22,2405,2022-11-25 18:45:37
AL,POÇO DAS TRINCHEIRAS,13,6302,2022-11-25 18:45:37
AL,POÇO DAS TRINCHEIRAS,22,1027,2022-11-25 18:45:37
AL,PÃO DE AÇÚCAR,13,9656,2022-11-25 18:45:37
AL,PÃO DE AÇÚCAR,22,2966,2022-11-25 18:45:37
AL,QUEBRANGULO,13,5173,2022-11-25 18:45:37
AL,QUEBRANGULO,22,1733,2022-11-25 18:45:37
AL,RIO LARGO,13,24037,2022-11-25 18:45:37
AL,RIO LARGO,22,22173,2022-11-25 18:45:37
AL,ROTEIRO,13,2250,2022-11-25 18:45:37
AL,ROTEIRO,22,1462,2022-11-25 18:45:37
AL,SANTA LUZIA DO NORTE,13,2859,2022-11-25 18:45:37
AL,SANTA LUZIA DO NORTE,22,1753,2022-11-25 18:45:37
AL,SANTANA DO IPANEMA,13,17056,2022-11-25 18:45:37
AL,SANTANA DO IPANEMA,22,6028,2022-11-25 18:45:37
AL,SANTANA DO MUNDAÚ,13,4843,2022-11-25 18:45:37
AL,SANTANA DO MUNDAÚ,22,1438,2022-11-25 18:45:37
