sg_uf,nm_municipio,nr_candidato,qt_votos_nominais,dt_carga
AC,PORTO ACRE,27,1,2022-11-25 18:45:37
AC,PORTO ACRE,30,12,2022-11-25 18:45:37
AC,PORTO ACRE,44,53,2022-11-25 18:45:37
AC,PORTO ACRE,80,0,2022-11-25 18:45:37
AC,PORTO WALTER,12,214,2022-11-25 18:45:37
AC,PORTO WALTER,13,2660,2022-11-25 18:45:37
AC,PORTO WALTER,14,6,2022-11-25 18:45:37
AC,PORTO WALTER,15,451,2022-11-25 18:45:37
AC,PORTO WALTER,16,0,2022-11-25 18:45:37
AC,PORTO WALTER,21,1,2022-11-25 18:45:37
AC,PORTO WALTER,22,2143,2022-11-25 18:45:37
AC,PORTO WALTER,27,0,2022-11-25 18:45:37
AC,PORTO WALTER,30,1,2022-11-25 18:45:37
AC,PORTO WALTER,44,27,2022-11-25 18:45:37
AC,PORTO WALTER,80,0,2022-11-25 18:45:37
AC,RIO BRANCO,12,6878,2022-11-25 18:45:37
AC,RIO BRANCO,13,53560,2022-11-25 18:45:37
AC,RIO BRANCO,14,154,2022-11-25 18:45:37
AC,RIO BRANCO,15,10522,2022-11-25 18:45:37
AC,RIO BRANCO,16,45,2022-11-25 18:45:37
AC,RIO BRANCO,21,80,2022-11-25 18:45:37
AC,RIO BRANCO,22,130393,2022-11-25 18:45:37
AC,RIO BRANCO,27,31,2022-11-25 18:45:37
AC,RIO BRANCO,30,600,2022-11-25 18:45:37
AC,RIO BRANCO,44,1314,2022-11-25 18:45:37
AC,RIO BRANCO,80,52,2022-11-25 18:45:37
AC,RODRIGUES ALVES,12,165,2022-11-25 18:45:37
AC,RODRIGUES ALVES,13,1839,2022-11-25 18:45:37
AC,RODRIGUES ALVES,14,3,2022-11-25 18:45:37
AC,RODRIGUES ALVES,15,263,2022-11-25 18:45:37
AC,RODRIGUES ALVES,16,0,2022-11-25 18:45:37
AC,RODRIGUES ALVES,21,1,2022-11-25 18:45:37
AC,RODRIGUES ALVES,22,6551,2022-11-25 18:45:37
AC,RODRIGUES ALVES,27,1,2022-11-25 18:45:37
AC,RODRIGUES ALVES,30,8,2022-11-25 18:45:37
AC,RODRIGUES ALVES,44,35,2022-11-25 18:45:37
AC,RODRIGUES ALVES,80,0,2022-11-25 18:45:37
AC,SANTA ROSA DO PURUS,12,44,2022-11-25 18:45:37
AC,SANTA ROSA DO PURUS,13,1357,2022-11-25 18:45:37
AC,SANTA ROSA DO PURUS,14,2,2022-11-25 18:45:37
AC,SANTA ROSA DO PURUS,15,58,2022-11-25 18:45:37
AC,SANTA ROSA DO PURUS,16,0,2022-11-25 18:45:37
AC,SANTA ROSA DO PURUS,21,0,2022-11-25 18:45:37
AC,SANTA ROSA DO PURUS,22,1028,2022-11-25 18:45:37
AC,SANTA ROSA DO PURUS,27,0,2022-11-25 18:45:37
AC,SANTA ROSA DO PURUS,30,3,2022-11-25 18:45:37
AC,SANTA ROSA DO PURUS,44,26,2022-11-25 18:45:37
AC,SANTA ROSA DO PURUS,80,0,2022-11-25 18:45:37
AC,SENA MADUREIRA,12,473,2022-11-25 18:45:37
AC,SENA MADUREIRA,13,5811,2022-11-25 18:45:37
AC,SENA MADUREIRA,14,19,2022-11-25 18:45:37
