,sg_uf,nm_municipio,nr_candidato,qt_votos_primeiro_turno,qt_votos_segundo_turno
243,AL,ANADIA,13,6234,6166
244,AL,ANADIA,14,18,0
245,AL,ANADIA,15,274,0
246,AL,ANADIA,16,3,0
247,AL,ANADIA,21,3,0
248,AL,ANADIA,22,1797,2019
249,AL,ANADIA,27,0,0
250,AL,ANADIA,30,8,0
251,AL,ANADIA,44,45,0
252,AL,ANADIA,80,0,0
253,AL,ARAPIRACA,12,3897,0
254,AL,ARAPIRACA,13,59431,61009
255,AL,ARAPIRACA,14,226,0
256,AL,ARAPIRACA,15,3938,0
257,AL,ARAPIRACA,16,19,0
258,AL,ARAPIRACA,21,41,0
259,AL,ARAPIRACA,22,48456,54674
260,AL,ARAPIRACA,27,12,0
261,AL,ARAPIRACA,30,158,0
262,AL,ARAPIRACA,44,730,0
263,AL,ARAPIRACA,80,19,0
264,AL,ATALAIA,12,422,0
265,AL,ATALAIA,13,13894,13340
266,AL,ATALAIA,14,42,0
267,AL,ATALAIA,15,964,0
268,AL,ATALAIA,16,5,0
269,AL,ATALAIA,21,7,0
270,AL,ATALAIA,22,7105,7544
271,AL,ATALAIA,27,1,0
272,AL,ATALAIA,30,20,0
273,AL,ATALAIA,44,142,0
274,AL,ATALAIA,80,2,0
275,AL,BARRA DE SANTO ANTÔNIO,12,171,0
276,AL,BARRA DE SANTO ANTÔNIO,13,5358,5155
277,AL,BARRA DE SANTO ANTÔNIO,14,9,0
278,AL,BARRA DE SANTO ANTÔNIO,15,292,0
279,AL,BARRA DE SANTO ANTÔNIO,16,1,0
280,AL,BARRA DE SANTO ANTÔNIO,21,5,0
281,AL,BARRA DE SANTO ANTÔNIO,22,3400,3586
282,AL,BARRA DE SANTO ANTÔNIO,27,0,0
283,AL,BARRA DE SANTO ANTÔNIO,30,9,0
284,AL,BARRA DE SANTO ANTÔNIO,44,37,0
285,AL,BARRA DE SANTO ANTÔNIO,80,1,0
286,AL,BARRA DE SÃO MIGUEL,12,146,0
287,AL,BARRA DE SÃO MIGUEL,13,2739,2699
288,AL,BARRA DE SÃO MIGUEL,14,9,0
289,AL,BARRA DE SÃO MIGUEL,15,198,0
